Link,Text
https://rpp.pe/economia/economia/bcrp-tasa-de-interes-de-referencia-se-mantiene-en-775-en-abril-noticia-1478795,BCRP mantiene la tasa de interés de referencia en 7.75 % por tercer mes consecutivo
https://rpp.pe/futbol/descentralizado/liga1-2023-fpf-agustin-lozano-presentara-proyecto-de-ley-para-administrar-estadios-y-hacerse-cargo-del-mantenimiento-noticia-1478785,Federación Peruana de Fútbol presentará proyecto de ley para administrar estadios que son propiedad del Estado
https://rpp.pe/economia/economia/precio-del-dolar-en-peru-durante-la-manana-de-hoy-viernes-14-de-abril-noticia-1478794,"Precio del dólar en Perú durante la mañana de hoy, viernes 14 de abril"
https://rpp.pe/lima/policiales-crimenes/capturan-a-integrantes-de-banda-que-asaltaba-a-clientes-de-bancos-en-lima-y-callao-noticia-1478782,Golpe al crimen: capturan a integrantes de banda que asaltaba a clientes de bancos en Lima y Callao [VIDEO]
https://rpp.pe/tecnologia/pc/ray-tracing-cuantos-gamers-lo-activan-estos-son-los-datos-de-nvidia-noticia-1478792,Ray Tracing: ¿Cuántos gamers lo activan? Estos son los datos de NVIDIA
https://rpp.pe/lima/actualidad/el-testimonio-de-una-madre-por-fernando-carvallo-columna-noticia-1478790,"El testimonio de una madre, por Fernando Carvallo [COLUMNA]"
https://rpp.pe/futbol/descentralizado/universitario-las-mejores-postales-del-museo-monumental-con-lolo-fernandez-como-maxima-figura-noticia-1478781,Con estatua de 'Lolo' Fernández: las mejores postales del Museo Monumental de Universitario
https://rpp.pe/lima/policiales-crimenes/ate-detienen-a-policia-en-actividad-presunto-integrante-de-banda-criminal-noticia-1478776,"Detienen en Ate a un policía en actividad, presunto integrante de una banda criminal de extorsionadores [VIDEO]"
https://rpp.pe/ciencia/espacio/sonda-europea-juice-despego-en-su-mision-para-analizar-las-lunas-heladas-de-jupiter-noticia-1478780,Sonda europea JUICE despegó en su misión para analizar las lunas heladas de Júpiter
https://rpp.pe/tecnologia/mas-tecnologia/tiktok-esta-a-punto-de-ser-prohibido-en-el-estado-de-montana-noticia-1478777,TikTok está a punto de ser prohibido en el estado de Montana
